Date/Time - Peak Brightness (UT),Altitude (km),Velocity (km/s),Velocity Components (km/s): vx,Velocity Components (km/s): vy,Velocity Components (km/s): vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),Geolocation
04/30/2015 10:21:01 AM,26.7,,12.2,-4.2,0.9,105000000000,0.32,"(-48.7, 139.1)"
04/21/2015 01:42:51 AM,37.4,,-15.3,12.8,7.4,88000000000,0.27,"(37.7, -39.6)"
04/08/2015 04:06:31 AM,36.3,,8,-15.6,-7.9,173000000000,0.49,"(-25.5, 51.5)"
04/03/2015 01:39:38 AM,,,,,,42000000000,0.14,"(8.4, -157.9)"
03/30/2015 09:33:52 PM,33.1,,-13.7,-1.7,0.8,64000000000,0.2,"(-36.1, -5.5)"
03/18/2015 12:04:50 AM,50,,,,,121000000000,0.36,"(-5.4, 159.3)"
03/11/2015 06:18:59 AM,35.2,,5.5,-10.5,-16,72000000000,0.23,"(8.0, 119.1)"
03/08/2015 04:26:28 AM,,,,,,20000000000,0.073,"(-39.1, -118.6)"
03/04/2015 04:30:05 AM,39.8,,7.8,-16,-2.5,55000000000,0.18,"(-15.9, 88.1)"
02/26/2015 10:06:24 PM,33.7,,5.6,-2.3,-20.2,188000000000,0.53,"(68.0, -149.0)"
02/25/2015 10:53:24 AM,42,,,,,58000000000,0.19,"(12.4, -122.4)"
02/17/2015 01:19:50 PM,39,,-28.2,3.4,4.6,33000000000,0.11,"(-8.0, -11.2)"
01/09/2015 05:31:47 PM,,,,,,22000000000,0.079,"(-23.3, -49.2)"
01/09/2015 10:41:11 AM,36,,-10.7,-7.6,11.6,139000000000,0.41,"(2.0, 28.8)"
01/07/2015 01:05:59 AM,45.5,,-35.4,1.8,-4.4,136000000000,0.4,"(45.7, 26.9)"
01/02/2015 01:39:19 PM,38.1,,4.5,-14.4,-10,20000000000,0.073,"(-31.1, 140.0)"
12/13/2014 02:53:52 AM,30.7,,15.3,-13.3,-7.8,44000000000,0.15,"(86.7, -162.1)"
12/12/2014 06:48:11 AM,26.3,,11.5,-2.8,-2.2,33000000000,0.11,"(33.5, 144.9)"
12/09/2014 09:19:18 PM,26.3,,,,,78000000000,0.24,"(76.6, 96.3)"
11/28/2014 11:47:18 AM,26.1,,0.4,-1.4,13.3,700000000000,1.7,"(-45.8, -172.7)"
11/27/2014 12:12:52 PM,38,,,,,55000000000,0.18,"(-18.8, -73.4)"
11/26/2014 11:16:51 PM,23.3,,21.3,2.2,13.4,118000000000,0.35,"(-69.5, -179.7)"
11/26/2014 05:40:16 PM,37,,-7,16.1,9.4,105000000000,0.32,"(-68.2, -24.0)"
11/04/2014 08:13:30 PM,22.2,,-7.2,-12.1,-7.7,156000000000,0.45,"(43.1, 115.8)"
10/21/2014 06:55:37 PM,,,,,,34000000000,0.12,"(22.2, -132.9)"
10/17/2014 02:07:36 PM,39,,,,,72000000000,0.23,"(-4.6, -66.3)"
10/14/2014 10:25:03 AM,27.2,,15,-6.9,-3.5,29000000000,0.1,"(-2.0, 119.2)"
10/06/2014 08:02:15 PM,,,,,,39000000000,0.13,"(-43.7, 85.7)"
09/09/2014 06:55:46 PM,32.5,,,,,28000000000,0.098,"(3.2, 137.2)"
09/05/2014 09:37:26 PM,,,,,,35000000000,0.12,"(22.7, -150.0)"
08/29/2014 11:15:39 PM,,,,,,26000000000,0.092,"(-6.2, -49.9)"
08/28/2014 03:07:45 AM,,,,,,34000000000,0.12,"(3.2, -45.4)"
08/23/2014 06:29:41 AM,22.2,16.2,-2.3,5.7,16.5,3820000000000,7.6,"(-61.7, 132.6)"
07/29/2014 07:38:07 AM,,,,,,73000000000,0.23,"(-49.2, -172.2)"
07/29/2014 03:07:43 AM,,,,,,53000000000,0.17,"(-33.9, -115.9)"
06/28/2014 02:40:07 AM,26.3,12.4,12,3.5,-10.5,245000000000,0.67,"(18.9, 141.2)"
06/26/2014 05:54:41 AM,28.5,,7,2.9,8.3,61000000000,0.2,"(-71.5, 93.4)"
05/29/2014 01:12:36 AM,28.7,,,,,58000000000,0.19,"(21.9, -131.1)"
05/16/2014 08:06:28 PM,30.8,18,2.9,13.4,-12.5,136000000000,0.4,"(-39.4, -95.9)"
05/16/2014 12:42:48 PM,44,,14.4,4.6,6.5,309000000000,0.82,"(-44.2, -176.2)"
05/08/2014 07:42:37 PM,35.4,,-2,-16.1,9.9,1050000000000,2.4,"(-36.9, 87.3)"
03/29/2014 01:45:41 PM,30.7,,10,-12.7,2.2,39000000000,0.13,"(-28.7, 121.5)"
03/18/2014 11:02:37 AM,30.5,,,,,540000000000,1.3,"(0.0, -111.8)"
03/03/2014 03:00:21 PM,,,,,,94000000000,0.29,"(-29.0, -94.9)"
02/18/2014 12:50:44 PM,,,,,,26000000000,0.092,"(-32.8, -61.5)"
02/13/2014 06:47:42 AM,25,,,,,630000000000,1.5,"(13.3, -110.7)"
01/15/2014 02:46:19 AM,29.6,,,,,140000000000,0.41,"(-18.5, 141.8)"
01/12/2014 04:00:48 PM,37,,-5.2,-15.1,2.6,78000000000,0.24,"(2.9, 64.4)"
01/08/2014 05:05:34 PM,18.7,,-3.4,-43.5,-10.3,31000000000,0.11,"(-1.3, 147.6)"
12/23/2013 08:30:57 AM,34.3,,-1.1,11.4,-9.9,147000000000,0.43,"(39.5, 2.0)"
12/08/2013 03:10:09 AM,23.5,,2.3,2.5,-11.3,64000000000,0.2,"(32.8, -165.1)"
11/21/2013 01:50:35 AM,59.3,,-5,-11,-2.7,75000000000,0.23,"(44.7, 35.3)"
10/12/2013 04:06:45 PM,22.2,,-8,8.4,-5.5,1610000000000,3.5,"(-19.1, -25.0)"
09/24/2013 03:31:16 PM,40.7,,,,,160000000000,0.46,"(-10.3, -164.7)"
08/12/2013 06:08:02 PM,66.6,,,,,44000000000,0.15,"(-34.4, 118.2)"
07/31/2013 03:50:14 AM,29.1,,17.7,-2.3,-0.1,69000000000,0.22,"(-31.8, 137.1)"
07/30/2013 02:36:58 AM,25.6,,15.9,-8.6,5.1,390000000000,1,"(-50.2, 90.2)"
07/27/2013 08:30:36 AM,26.5,,16,14.9,-3.3,120000000000,0.36,"(0.3, 156.2)"
